Estació,Altitud (m),T(ºC),T mín (ºC),T màx (ºC),Punt rosada (ºC),Wind Chill (ºC),Humetat relativa %,Precip Dia (mm),Intensitat precip,Vent (km/h),Direcció vent,Màxim vent (km/h)
la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena,la Plana d′Utiel-Requena
Fuenterrobles,880,5.5,-5.4,5.5,,,,0.0,0.0,5,OSO,19
Requena,725 +8,6.2,-4.0,6.2,-1.8,5.0,57,0.0,0.0,6,SO,16
RequenaEl Rebollar (Coop. Nuestra Señora del Rosario),708 +8,6.4,-4.7,6.7,-1.8,,56,0.0,0.0,3,NO,18
RequenaLos Isidros,592 +2,8.4,-5.1,8.4,0.0,7.1,56,0.0,0.0,8,SSE,16
RequenaSan Antonio,702 +10,7.4,-3.7,7.4,-2.7,6.0,49,0.0,0.0,8,SO,22
SinarcasLa Raílla,885,7.9,-6.9,7.9,-2.3,6.5,49,0.0,0.0,8,S,18
Utielest,728 +16,7.4,-4.1,7.4,-1.9,,52,0.0,0.0,3,SO,13
Xera,638,8.2,-3.0,8.2,-0.9,5.2,53,0.0,0.0,19,S,27
la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol,la Foia de Bunyol
Bunyol,350 +20,11.3,1.3,11.3,-0.6,,44,,,0,SE,19
BunyolAlto Gordo,794 +6,6.2,-0.8,6.5,-2.8,2.1,53,0.0,0.0,24,ONO,39
Setaigües,697 +19,6.7,-2.6,6.8,-3.4,5.1,49,0.0,0.0,8,OSO,27
Xestcentre,218 +20,12.2,2.4,12.2,2.0,,50,0.0,0.0,5,NE,15
Xiva,293,11.8,-0.1,11.9,1.1,,48,0.0,0.0,5,N,21
XivaCalicanto,167,12.1,3.4,12.2,1.0,,47,0.0,0.0,11,SO,19
la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora,la Vall de Cofrents-Aiora
AioraCarrer Montemayor,596 +2,7.5,-3.3,7.5,,,75,,,,,
AioraPlaça Major,605,7.2,-1.6,7.6,1.2,,66,0.0,0.0,1,SO,11
AioraPolígon,582 +2,7.3,-3.2,7.3,0.4,,62,0.0,0.0,4,NE,9
la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta,la Ribera Alta
Alfarbel Puntal,110 +1,10.4,0.5,10.4,5.3,,71,0.6,0.6,3,SE,11
Algemesí,34,11.0,1.2,11.0,4.8,,66,0.2,0.2,15,S,21
Alginet,27 +11,11.8,1.7,11.8,4.9,,63,0.0,0.0,11,SO,18
AlginetUrb. Los Lagos,115 +8,11.2,2.4,11.2,3.9,,61,0.0,0.0,6,SSE,15
Alziraest l'Alquenència,25,11.5,1.7,11.5,4.4,,62,0.2,0.2,8,S,19
AlziraIES La Murta,18 +12,11.1,3.2,11.1,3.8,,61,0.0,0.0,8,SSO,23
Alzirala Casella,130 +2,11.3,1.3,11.3,4.4,,63,0.4,0.4,3,N,16
Alzirala Murta,120 +2,11.1,-1.0,11.1,4.9,,66,0.2,0.2,6,ENE,18
AlziraMulata Alzicoop,20 +2,12.4,0.0,12.4,6.2,,66,0.2,0.2,8,SO,19
BenifaióCEIP Santa Bàrbara,15 +14,11.3,1.8,11.3,3.7,,60,0.2,0.2,8,SSO,23
Càrcer,42 +15,11.2,1.6,11.2,3.4,,59,0.2,0.2,10,S,16
CàrcerPla del Rei,48 +4,12.0,3.9,12.0,,,,0.2,0.2,0,SO,10
Carcaixent,31 +16,11.1,2.9,11.1,4.5,,64,0.2,0.2,8,SE,21
CarletCaseta del Banc,100 +2,12.8,0.3,13.2,-0.2,,41,0.2,0.2,2,OSO,9
Carlet,50 +11,11.9,2.2,11.9,5.0,,63,0.4,0.4,10,SSO,21
Castellópoble,36 +15,10.8,1.1,10.8,5.1,,68,0.2,0.2,11,SE,19
CotesCementeri,44 +3,12.2,0.6,12.3,3.3,,55,0.0,0.0,8,SE,17
Gavarda,80 +10,11.6,1.6,11.6,,,60,0.3,0.3,,,
GuadassuarComplex de Valorització de Residus,36,11.5,0.5,11.5,5.1,,65,0.0,0.0,24,SSE,27
l′AlcúdiaAjuntament,48,11.8,1.7,11.8,4.5,,61,0.0,0.0,10,SSO,21
l′AlcúdiaCarriona,45,12.3,-0.7,12.3,5.2,,62,0.0,0.0,5,SSO,23
la Pobla LlargaIES Pere d′Esplugues,39,11.6,2.3,11.6,4.7,,63,0.2,0.2,6,SO,19
Massalavés,36,11.4,0.3,11.4,5.0,,65,,,6,SSE,18
MontserratCasadalt,225 +2,12.4,2.3,12.4,2.7,,52,0.2,0.2,6,OSO,23
Sumacàrcer,70 +13,4.2,2.7,6.8,2.7,,90,0.2,0.2,0,N,8
SumacàrcerAlt de la Ceja,320 +6,10.2,-0.3,11.4,3.4,,63,0.3,0.3,12,SSO,24
Torís Canyapar,255 +6,11.7,2.1,11.8,0.4,,46,0.0,0.0,5,N,21
la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa,la Ribera Baixa
Albalat de la Ribera,25,11.6,1.8,11.7,4.7,,63,0.2,0.2,5,S,19
Cullerael Marenyet,2 +16,10.3,1.7,10.3,4.8,,69,0.0,0.0,6,E,16
CulleraFar,26 +20,10.5,2.6,10.5,5.0,,69,0.0,0.0,2,ONO,32
CulleraSant Antoni,0 +37,10.3,4.3,11.1,3.0,,61,0.0,0.0,5,S,26
Favara,20,12.7,2.2,12.7,4.1,,56,0.0,0.0,3,O,11
SollanaEl Romaní,0,11.2,0.7,11.2,5.5,,68,,,14,SSO,22
Sollanal'Albufera/Tancat de Milia,0,11.6,3.4,11.6,5.8,,68,,,13,OSO,19
Suecales Palmeres,16 +30,10.7,3.8,10.7,4.8,,67,0.2,0.2,13,OSO,19
la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés,la Canal de Navarrés
ÉngueraNavalón,740,8.8,-4.6,8.8,,,,0.0,0.0,5,N,13
Énguera,287,11.3,-1.8,11.7,3.0,,57,0.2,0.2,8,SE,18
ÉngueraAntolí,310,10.6,-0.8,10.6,3.1,,60,,,11,E,15
ÉngueraBenali,710 +2,9.5,0.5,9.6,-0.8,,49,0.2,0.2,2,S,15
ÉngueraBenigüengo,745 +3,7.4,-2.8,7.4,-1.1,,55,0.0,0.0,2,NNE,13
Anna,220,10.8,-0.3,11.1,5.5,,70,0.2,0.2,0,NE,10
Millars,350 +6,10.3,1.1,10.3,0.0,,49,0.0,0.0,3,NO,15
QuesaHotel La Rocha,250 +10,11.9,-0.8,11.9,1.7,,50,0.0,0.0,2,NNE,8
Xella,230 +11,11.7,-0.8,11.7,2.9,,55,0.4,0.4,3,SE,8
XellaEl Rincón,235 +3,11.9,-1.2,11.9,4.1,,59,0.3,0.3,2,ENE,8
la Costera,la Costera,la Costera,la Costera,la Costera,la Costera,la Costera,la Costera,la Costera,la Costera,la Costera,la Costera,la Costera
CanalsIES Sivera Font,172,12.1,1.9,12.1,4.7,,61,0.4,0.4,3,S,21
l′Alcúdia de Crespins/Canalsla Muntanyeta,170,10.7,1.3,10.8,3.9,,63,0.2,0.2,5,S,15
la Font de la FigueraParc solar,596,8.9,-0.9,8.9,0.3,8.4,55,0.2,0.2,5,S,15
Moixentla Foia,380,10.7,-0.4,10.7,3.2,,60,0.2,0.2,0,S,16
Vallada,290 +12,10.2,0.3,10.2,2.0,,57,0.2,0.2,0,SE,4
ValladaMolí de Baix,256 +6,10.3,-0.2,10.3,1.3,,54,0.2,0.2,6,E,11
XàtivaAusiàs March,100 +25,10.1,1.1,10.7,4.2,,67,0.3,0.3,6,S,13
XàtivaIES Josep de Ribera,96,9.8,0.8,9.8,4.7,,71,0.2,0.2,3,S,16
la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida,la Vall d′Albaida
Agullent,434 +20,8.6,1.7,8.7,2.1,,64,0.2,0.2,5,OSO,8
Aielo de Malferitcentre,289,9.5,0.6,9.6,4.2,,70,0.3,0.3,3,SE,9
Aielo de Rugatel Planet,250 +3,7.6,-0.1,7.9,,,,0.2,0.2,0,ONO,5
AlbaidaIES J. Segrelles,330,8.0,0.8,8.0,7.5,,97,,,0,SSE,6
Beniatjar,402 +8,8.9,1.4,9.6,3.3,,68,0.3,0.3,3,S,7
Bocairentels Corrals,594 +4,9.6,-1.0,9.6,-0.1,,51,0.0,0.0,0,NNO,9
Bocairentels Vilars,645,7.9,-0.2,7.9,0.3,,59,0.2,0.2,4,NO,15
BocairentRambla de Mariola,801 +2,6.4,-7.0,6.4,-0.7,5.2,61,0.0,0.0,6,ENE,15
Castelló de Rugat,320,9.6,1.4,9.6,6.6,,82,0.4,0.4,3,SE,8
el Palomar,316,10.2,0.1,10.2,3.2,,62,0.4,0.4,5,SO,8
FontanarsGasolinera,615 +2,9.1,-3.5,9.1,2.1,,62,0.2,0.2,3,SSO,10
Fontanarsoest,628 +17,7.2,-2.8,7.2,1.4,6.3,67,0.2,0.2,6,S,15
Fontanarspoble,636,8.2,-2.8,8.2,0.6,7.3,59,0.2,0.2,6,SSO,10
l′OlleriaAjuntament,256,8.3,-0.3,8.3,,,,0.6,0.6,6,ESE,11
la Pobla del DucCooperativa,243,7.6,0.8,7.7,5.4,,86,0.4,0.4,2,N,10
LlutxentCoop. del Camp,289,7.1,0.8,7.2,6.3,,95,0.0,0.0,0,O,10
MontavernerAjuntament,182,8.7,-0.8,8.7,6.5,,86,0.4,0.4,0,ESE,8
Montitxelvo,280 +12,9.6,0.2,9.6,4.1,,69,0.2,0.2,0,SSO,8
OntinyentAlba,405 +2,10.5,0.3,10.6,3.2,,61,0.2,0.2,8,SSE,11
OntinyentAlt de Toledo,400,9.9,-0.4,9.9,3.8,,66,0.2,0.2,5,SSO,10
OntinyentCol·legi La Milagrosa,355,9.1,-0.2,9.5,2.4,,63,,,0,SE,13
OntinyentCol·legi La Pureza de María,389,9.6,-1.1,9.6,3.7,8.5,67,0.2,0.2,8,OSO,8
Ontinyentel Pilar,405 +6,9.9,-1.1,10.0,2.9,,62,0.2,0.2,0,SO,8
OntinyentIES Jaume I,372,10.2,1.2,10.2,3.6,,64,0.2,0.2,2,SE,15
Ontinyentles Aigües,355,10.6,-1.6,10.6,3.1,,60,0.0,0.0,6,S,9
OntinyentLlombo,370 +20,9.8,0.0,9.8,2.8,,62,0.0,0.0,2,ESE,15
OntinyentOmbria dels Frares,500 +2,9.8,-1.6,9.8,2.6,,61,0.0,0.0,2,NNO,8
OntinyentPonceta,423 +2,10.4,-2.4,10.4,2.4,,58,0.2,0.2,0,SSE,7
OntinyentSta. Anna nord,370 +4,9.4,-0.2,9.7,3.3,,66,0.2,0.2,0,SE,5
Otos,335,9.5,1.2,9.6,4.0,,69,0.2,0.2,5,S,15
QuatretondaCamí del Molí,222 +15,9.3,0.5,9.4,4.9,,74,0.2,0.2,2,O,5
Quatretondasud-est,216 +13,8.6,-0.2,8.6,3.6,,71,0.2,0.2,5,SSE,10
Rugat,293,9.4,-0.6,9.4,4.6,,72,,,3,OSO,11
Salem,365,8.8,1.6,8.8,3.8,,71,,,3,SSO,10
la Safor,la Safor,la Safor,la Safor,la Safor,la Safor,la Safor,la Safor,la Safor,la Safor,la Safor,la Safor,la Safor
Almoines,40,10.8,3.4,10.9,4.2,,64,0.0,0.0,10,ONO,21
Barx,355 +12,8.8,0.9,8.8,2.7,,66,0.2,0.2,2,O,15
Barxla Drova,379 +2,9.8,-2.1,9.8,3.9,,67,0.0,0.0,3,NO,13
Barxla Falaguera,342 +12,8.4,3.3,8.4,3.0,6.9,69,0.2,0.2,9,SO,19
Barxla Visteta,326 +12,8.8,-0.1,8.8,3.4,7.8,69,0.2,0.2,7,SSO,19
Benifairó de la ValldignaCambro/Pator,37 +2,11.4,0.1,11.4,6.1,,70,0.2,0.2,5,S,10
el Real de GandiaCEIP CAES N.S.Amparo,85 +14,10.4,3.6,10.4,3.6,,63,0.0,0.0,6,OSO,21
GandiaAjuntament,25,11.1,3.2,11.3,5.1,,67,0.0,0.0,5,SSO,16
GandiaCamí de la mar,25 +8,11.1,2.7,11.4,4.7,,65,0.0,0.0,1,SO,13
GandiaEscola Pia,21 +17,11.4,3.8,11.5,1.3,,50,0.0,0.0,10,SSO,16
GandiaGrau sud,10 +11,11.1,2.6,11.1,5.6,,69,0.0,0.0,5,OSO,19
la Font d′en Carròsla Cava,93,11.1,3.5,11.2,4.7,,65,0.3,0.3,9,SO,21
MiramarPlatja,10,11.6,3.7,11.6,5.4,,66,0.2,0.2,10,OSO,18
OlivaCol·legi El Rebollet,10,12.1,5.6,12.1,5.7,,65,0.0,0.0,4,OSO,16
Olivasud,18 +14,11.7,4.9,11.7,5.1,,64,0.0,0.0,2,SO,13
Palma de GandiaMarxuquera,86 +3,10.8,-0.3,10.9,6.3,,74,0.2,0.2,3,OSO,13
Simat de la Valldigna,68 +17,10.9,3.3,10.9,3.6,,61,0.2,0.2,3,E,10
Tavernes de la ValldignaSequers,12 +12,11.4,3.9,11.4,5.0,,65,0.2,0.2,0,SO,18
Tavernes de la ValldignaUll del Bou/Cambro,50 +5,11.7,1.6,11.7,5.5,,66,0.4,0.4,8,OSO,15
Vilallongael Pla de la Llacuna,515 +2,9.1,-0.6,9.1,2.1,7.3,62,0.0,0.0,11,SSO,21
Vilallonganord,100,9.7,3.6,9.7,5.2,9.0,74,0.0,0.0,6,SO,21
VilallongaSerpis,92 +9,9.5,3.7,9.6,4.8,8.8,73,0.0,0.0,6,O,27
el Comtat,el Comtat,el Comtat,el Comtat,el Comtat,el Comtat,el Comtat,el Comtat,el Comtat,el Comtat,el Comtat,el Comtat,el Comtat
AgresBonell,666 +6,6.7,-0.6,6.7,1.4,,69,0.2,0.2,0,OSO,10
AgresFoia Ampla de Mariola,1.053 +2,3.1,-6.3,3.4,1.3,,88,0.4,0.4,0,N,8
Agresla Valleta,565 +2,7.6,-1.9,7.6,4.1,,79,0.2,0.2,3,OSO,10
Agresles Eres,660 +2,5.4,-0.4,5.7,,,,0.0,0.0,0,E,2
AgresRte. El Convent,790,4.6,-0.3,5.1,1.4,,80,0.0,0.0,4,SSE,7
AgresTorreta Alta,760,3.9,0.3,4.2,3.2,,95,0.2,0.2,3,NO,8
AlcolejaBeniafé,745,6.5,-0.3,6.5,3.6,,82,0.3,0.3,0,OSO,13
Balones,668 +9,7.9,-0.8,8.0,2.1,,67,0.0,0.0,4,SSO,17
BeniarrésMuseu del Clima,401,6.4,1.0,6.4,5.8,,96,0.0,0.0,2,SO,8
Benillobael Passeig,554,7.2,-1.5,8.0,1.8,,69,0.3,0.3,1,N,10
BenillobaSecció IES Pare Arques,557 +12,7.2,-1.1,7.4,2.4,,72,0.0,0.0,2,NNO,13
Benillup,565 +10,7.2,-0.8,7.2,4.6,,84,0.4,0.4,0,E,8
Cocentaina9 Oliveres,439,6.2,0.1,6.2,4.2,,87,0.0,0.0,0,NNE,11
CocentainaAjunt./IES Pare Arques,455,5.0,-0.2,5.0,4.6,,97,0.2,0.2,0,ENE,13
CocentainaSant Cristòfol,527 +7,5.3,-0.1,5.3,,,,0.2,0.2,2,SSO,6
GorgaForn Montse,545,7.1,-0.4,7.3,-0.7,5.6,58,0.0,0.0,8,ONO,10
l′Orxa,272,5.5,2.4,5.6,4.8,,95,0.0,0.0,0,E,6
Muro d′AlcoiFont del Baladre,465,5.3,-0.6,5.4,4.2,,93,0.2,0.2,2,ENE,6
Muro d′AlcoiIES Serra Mariola,390,6.1,0.9,6.1,3.7,,85,0.2,0.2,3,SSO,10
Planes,452 +5,5.6,0.3,5.6,,,,0.4,0.4,0,O,6
PlanesBenialfaquí,497 +2,6.7,-0.4,6.7,5.0,,89,0.5,0.5,3,O,6
l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià,l′Alcoià
AlcoiA.C.I.F.,617,7.6,0.0,7.7,2.0,,68,,,5,ESE,11
AlcoiCírculo Industrial,580 +11,6.7,-1.6,6.8,1.4,5.9,69,0.2,0.2,5,NE,11
AlcoiIES Pare Vitòria,624,6.4,0.3,6.5,-2.1,5.2,55,0.0,0.0,6,NE,15
AlcoiLa Font Roja,1055,3.8,-1.3,4.2,-0.3,,75,1.0,1.0,3,SO,21
AlcoiMenejador A.C.I.F.,1352,0.8,-2.6,0.8,,,,0.0,0.0,,,
AlcoiPas del Benissaidó,555 +29,7.5,-0.2,7.8,2.5,,71,0.2,0.2,5,NE,10
AlcoiUrb. Montesol,819 +2,6.9,-2.3,6.9,,,,,,5,ESE,10
Banyeres de MariolaAlberg Ull de Canals,756 +2,8.1,-4.4,8.2,0.0,6.8,57,0.0,0.0,8,NNO,16
Banyeres de Mariolael Barranquet,782,6.4,-0.7,6.4,0.9,,68,0.2,0.2,3,N,16
Banyeres de MariolaIES Professor Manuel Broseta,729,9.0,-0.7,9.0,1.3,,59,0.2,0.2,0,NE,15
Banyeres de MariolaRte. Venta del Borrego,670 +2,8.7,-1.8,8.7,-1.8,8.1,48,0.3,0.3,6,NNE,15
BenifallimFreginal,729 +2,6.8,0.6,6.8,1.4,5.7,69,0.2,0.2,6,NE,10
CastallaCEIP Rico Sapena,671 +10,8.4,0.2,8.4,-1.3,,51,0.2,0.2,5,NNE,18
Ibicentre,716,7.7,-0.4,8.4,-1.9,6.3,51,0.0,0.0,8,NO,23
IbiIES la Foia,705 +2,9.2,-2.4,9.2,-1.9,6.4,46,0.0,0.0,19,N,24
IbiTorretes/Font Roja,920,7.5,-0.9,7.7,0.4,,61,0.0,0.0,2,SSO,23
OnilTrail Natura,722,8.8,-0.9,9.1,-0.6,,52,0.2,0.2,5,S,21
PenàguilaSafari Aitana,1002,2.7,-1.8,2.8,2.3,,97,1.0,1.0,0,N,3
l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó,l′Alt Vinalopó
Beneixamapoble,601,8.5,-3.8,8.7,,,,0.2,0.2,0,NE,15
BiarSant Roc,689 +12,7.3,-1.0,7.3,-0.7,5.8,57,0.0,0.0,8,NNO,19
Saix,472 +15,9.0,-0.9,9.0,0.6,,56,0.0,0.0,0,E,28
Salinespoble,505 +15,9.0,-0.9,9.2,0.9,7.2,57,0.0,0.0,11,NE,23
Villenala Safra,639 +2,8.1,-2.0,8.4,-0.7,,54,0.3,0.3,4,NNO,9
VillenaLas Virtudes,497 +2,10.3,-2.1,10.3,2.1,,57,0.0,0.0,5,ONO,15
VillenaCamino San Juan,498 +2,9.2,-4.6,9.3,1.0,,57,0.0,0.0,2,NO,15
Villenaciutat,524 +24,8.5,-1.5,8.5,1.1,,60,0.0,0.0,2,NNO,13
VillenaEl Puerto. Villa Ventín,565 +2,9.4,-2.1,9.4,1.2,,57,0.0,0.0,5,NO,11
VillenaFinca Casa Balaguer,529 +2,8.7,-4.4,8.7,0.1,7.3,55,0.0,0.0,9,SSE,9
VillenaFinca Hnos. Guerrero,489 +2,8.5,-2.1,8.5,1.8,,63,0.0,0.0,0,N,13
VillenaFinca La Glòria,661 +2,8.9,-1.9,9.7,-0.5,,52,0.0,0.0,4,NO,17
VillenaFondo de la Lagunilla,489 +2,9.1,-4.9,9.3,,,58,,,,,
VillenaHondo de Carboneras,499 +2,9.1,-2.4,9.1,0.7,8.3,56,0.0,0.0,7,NNO,13
VillenaLa Boquera,527,8.6,-2.5,8.6,-0.5,8.0,53,0.0,0.0,5,S,17
VillenaLa Lagunilla,499 +3,8.7,-2.7,8.7,,,,0.2,0.2,0,NE,19
VillenaLa Parrala,533 +2,9.8,-2.8,9.8,1.1,,55,0.0,0.0,0,O,13
VillenaLas Quebradas,505 +2,8.2,-2.5,8.3,1.0,,61,0.0,0.0,4,SSE,9
VillenaPenya Rubia,601,9.1,-3.8,9.2,0.4,,55,0.2,0.2,4,NNO,7
VillenaSerra de Salines,1.098 +2,5.2,-2.2,5.2,0.1,,70,0.0,0.0,2,NNO,11
el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà,el Vinalopó Mitjà
Asp,289,11.8,2.2,11.9,1.3,,49,0.0,0.0,3,NO,15
Eldacentre,411,10.6,0.3,10.6,,,49,0.0,0.0,,,
Monòver,405 +10,10.8,-0.3,10.8,-0.2,,47,0.0,0.0,1,S,18
Noveldacentre,238 +16,11.4,2.2,11.4,0.7,,48,0.0,0.0,8,ONO,29
Petrer,439,9.8,0.2,9.8,1.1,7.0,55,0.0,0.0,21,ONO,23
la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta,la Marina Alta
Alcalalícentre,231 +15,9.8,3.6,9.8,4.1,,68,0.0,0.0,2,NE,21
BenigemblaFont Nova,315 +8,10.4,0.3,10.5,2.2,,57,0.3,0.3,7,OSO,28
BenissaAjuntament,319,9.2,3.4,9.2,4.0,8.4,70,0.8,0.8,6,NNO,26
Castell de CastellsAjuntament,548 +11,7.8,-0.9,7.9,2.0,7.1,67,0.2,0.2,6,NNO,13
Déniala Xara,28 +15,10.0,4.1,10.3,3.2,,63,0.0,0.0,5,N,19
DéniaJoan Chabàs,14 +25,9.5,5.8,9.8,3.4,8.9,66,0.4,0.4,6,ONO,19
DéniaMontgó,120 +6,9.0,6.1,9.0,4.2,8.0,72,,,7,NNE,15
DéniaPlatja de Pego,3,9.5,3.5,9.8,4.7,8.6,72,0.0,0.0,7,N,24
el Poble Nou de Benitatxell,163,9.8,5.4,9.9,4.5,8.5,70,3.0,3.0,10,NNO,37
el Ràfol d′Almúnia,88,10.4,3.3,10.6,4.5,,67,0.0,0.0,10,NE,27
el Verger,42,10.2,4.8,10.3,4.3,,67,0.0,0.0,8,N,24
Gata de GorgosCEIP Santíssim Crist,90 +10,9.9,4.8,9.9,,,64,1.2,1.2,,,
la Vall d′AlcalàBeniaia,637,5.8,0.1,5.8,1.7,,75,1.8,1.8,0,NO,8
la Vall de GallineraBenialí,298 +12,9.2,1.4,9.2,2.9,8.4,65,0.2,0.2,6,S,15
Moraira,18,10.4,5.3,10.4,4.5,,67,2.6,2.6,16,NNE,24
Ondara,48 +14,11.4,4.0,11.6,4.3,,62,0.0,0.0,0,NO,21
Orba,149 +15,10.3,3.3,10.3,4.4,,67,0.0,0.0,6,NNE,16
Parcentels Plans,278 +10,9.2,1.8,9.2,3.7,,69,0.0,0.0,5,NE,16
ParcentFont del Llavador,259 +3,10.1,1.9,10.4,6.6,,79,0.3,0.3,3,NE,13
Pedreguer,91,10.1,5.6,10.2,4.8,,70,0.0,0.0,8,NNE,18
Pedreguerla Sella,58,10.1,2.6,10.2,3.5,,64,0.6,0.6,8,NNO,20
PedreguerPatronat,54 +2,11.8,5.2,11.8,4.9,,63,0.2,0.2,0,NNO,15
PegoAmbra,81,10.8,4.6,10.9,4.0,,63,0.0,0.0,4,ONO,13
Pegocentre,81,11.8,3.8,11.9,3.5,,57,0.0,0.0,1,SSE,17
PegoCorral de Rata,391,8.2,3.2,8.3,2.6,,68,0.0,0.0,4,N,15
Pegola Plana,15,11.2,3.3,11.4,3.6,,60,0.0,0.0,4,NE,20
Pegoles Verdales,89 +13,10.9,2.9,11.1,3.1,,59,0.0,0.0,4,SSE,15
PegoMusical,72,11.2,3.4,11.5,2.4,,55,0.0,0.0,2,NNO,15
Teuladael Pla,149 +3,9.8,4.7,9.9,3.9,8.1,67,2.5,2.5,12,N,30
TeuladaSant Jaume,226,9.8,4.0,9.8,4.5,8.4,70,4.8,4.8,10,NE,31
TeuladaXurra,163 +2,9.4,5.0,9.5,3.7,8.5,68,5.0,5.0,7,N,29
XàbiaAlt de la Granadella,150 +8,8.7,5.5,,3.5,6.3,70,1.5,1.5,15,NNO,46
XàbiaAsevi,45 +2,10.7,4.6,10.7,4.5,,66,2.8,2.8,10,N,27
XàbiaBalcón al Mar,157 +8,8.9,4.8,9.4,3.9,7.3,71,0.2,0.2,10,NNE,26
XàbiaBarranqueres,40 +4,10.6,4.2,10.7,3.6,,62,4.6,4.6,6,SO,24
XàbiaCansalades,80,10.5,3.6,11.0,4.6,,67,3.9,3.9,5,NNE,21
XàbiaCentre Històric,65 +20,10.2,6.4,10.2,4.5,,68,7.2,7.2,5,NNO,31
XàbiaClub de Golf,62 +8,9.7,4.9,9.8,4.2,7.4,69,3.4,3.4,16,NNO,27
XàbiaFar del Cap de la Nau,127 +6,9.5,5.7,9.8,4.2,8.2,70,0.0,0.0,9,NE,28
XàbiaFontanella,40,11.7,4.3,11.8,6.1,,69,5.3,5.3,0,NO,
XàbiaFreginal,15 +2,11.6,5.7,11.6,5.6,,67,8.0,8.0,10,NNO,26
XàbiaHeliport - Bevenguts,20 +2,12.2,4.5,12.3,5.5,,64,4.4,4.4,13,N,32
Xàbiala Granadella,10 +8,11.1,6.3,11.3,4.3,,63,1.0,1.0,8,NO,24
Xàbiala Plana,190 +12,8.6,4.9,8.7,4.4,5.9,75,5.8,5.8,18,NNO,32
Xàbiales Valls,70 +8,10.2,4.5,10.3,3.8,,65,2.7,2.7,14,NO,33
XàbiaLluca/Coster d'En Sala,60,10.8,2.4,11.2,4.2,,64,3.9,3.9,8,NO,24
XàbiaLluca/Rafalet,20 +2,11.7,3.7,11.7,,,61,,,,,
XàbiaMontgó/Castellans,110 +4,10.3,5.3,10.3,4.2,,66,7.4,7.4,0,ONO,
XàbiaMontgó/Toscamar,131 +4,9.5,5.6,9.5,3.0,7.8,64,2.2,2.2,11,E,34
XàbiaPartida Julians,80 +2,10.8,3.9,,,,62,,,,,
Xàbiaplatja de l′Arenal,5 +6,10.8,5.2,10.8,4.4,,65,4.4,4.4,0,NO,29
Xàbiaport,15 +18,10.3,6.9,10.3,3.0,,61,6.6,6.6,2,NNO,32
XàbiaTossal Gros,328 +15,8.2,4.1,8.3,,,,3.8,3.8,14,NO,35
